Influencer Name,Platform,Followers,Tier,Contact Date,Response,Campaign Status,Content Due,Content Delivered,Engagement Rate,Sales Generated,ROI,Notes
@beauty_expert,Instagram/TikTok,45000,Micro,,,Pending,,,,,,Beauty tutorial specialist
@hair_guru,Instagram,150000,Mid-tier,,,Pending,,,,,,Professional stylist background
@style_maven,TikTok,25000,Micro,,,Pending,,,,,,Known for transformations
@hairbydesign,Instagram,75000,Mid-tier,,,Pending,,,,,,Salon owner
@trendingstylist,Both,35000,Micro,,,Pending,,,,,,Strong engagement rate
@beautypro,Instagram,180000,Mid-tier,,,Pending,,,,,,Product review focus
@hairtutorials,TikTok,40000,Micro,,,Pending,,,,,,Tutorial specialist
@styleinfluencer,Both,120000,Mid-tier,,,Pending,,,,,,High conversion rate
@hairartist,Instagram,30000,Micro,,,Pending,,,,,,Creative styling
@beautycreator,TikTok,95000,Mid-tier,,,Pending,,,,,,Before/after expert
